airport,city,Average Fare,Inflation Adjusted Average Fare,year,quarter
HNL,Honolulu,103.28,211.15,1993,1
OGG,Kahului,48.83,99.84,1993,1
KOA,Kona,45.96,93.98,1993,1
LIH,Lihue,48.21,98.56,1993,1
ITO,Hilo,42.72,87.34,1993,1
MKK,Hoolehua,47.74,97.61,1993,1
LNY,Lanai,48.39,98.94,1993,1
JHM,Kapalua,44.67,91.33,1993,1
HNM,Hana,49.13,100.44,1993,1
HPV,Hanalei,42.72,87.35,1993,1
LUP,Kalaupapa,57.13,116.79,1993,1
MUE,Kamuela,39.3,80.34,1993,1
HNL,Honolulu,138.22,280.44,1993,2
OGG,Kahului,60.53,122.81,1993,2
KOA,Kona,62.19,126.19,1993,2
LIH,Lihue,58.09,117.86,1993,2
ITO,Hilo,51.63,104.75,1993,2
MKK,Hoolehua,57.65,116.96,1993,2
LNY,Lanai,55.0,111.59,1993,2
JHM,Kapalua,47.3,95.96,1993,2
HNM,Hana,55.92,113.45,1993,2
HPV,Hanalei,55.16,111.91,1993,2
LUP,Kalaupapa,62.36,126.53,1993,2
HNL,Honolulu,117.03,236.52,1993,3
OGG,Kahului,53.42,107.95,1993,3
KOA,Kona,52.05,105.19,1993,3
LIH,Lihue,50.61,102.28,1993,3
ITO,Hilo,49.36,99.75,1993,3
MKK,Hoolehua,45.3,91.56,1993,3
LNY,Lanai,51.94,104.96,1993,3
JHM,Kapalua,43.76,88.43,1993,3
HNM,Hana,67.65,136.72,1993,3
HPV,Hanalei,77.71,157.05,1993,3
LUP,Kalaupapa,80.0,161.68,1993,3
HNL,Honolulu,117.91,236.65,1993,4
OGG,Kahului,53.77,107.91,1993,4
KOA,Kona,53.86,108.1,1993,4
LIH,Lihue,44.27,88.86,1993,4
ITO,Hilo,45.82,91.96,1993,4
MKK,Hoolehua,44.35,89.01,1993,4
LNY,Lanai,58.79,118.0,1993,4
JHM,Kapalua,40.27,80.83,1993,4
HNM,Hana,73.76,148.05,1993,4
HPV,Hanalei,73.37,147.25,1993,4
LUP,Kalaupapa,67.69,135.87,1993,4
HNL,Honolulu,124.46,248.23,1994,1
OGG,Kahului,58.24,116.16,1994,1
KOA,Kona,57.0,113.69,1994,1
LIH,Lihue,47.32,94.38,1994,1
ITO,Hilo,45.16,90.07,1994,1
MKK,Hoolehua,59.41,118.48,1994,1
LNY,Lanai,69.32,138.25,1994,1
JHM,Kapalua,52.61,104.92,1994,1
HNM,Hana,68.5,136.61,1994,1
HPV,Hanalei,92.87,185.21,1994,1
LUP,Kalaupapa,71.9,143.4,1994,1
HNL,Honolulu,141.09,279.61,1994,2
OGG,Kahului,63.53,125.91,1994,2
KOA,Kona,64.54,127.89,1994,2
LIH,Lihue,48.87,96.85,1994,2
ITO,Hilo,50.37,99.82,1994,2
MKK,Hoolehua,63.56,125.96,1994,2
LNY,Lanai,64.49,127.81,1994,2
JHM,Kapalua,58.91,116.75,1994,2
HNM,Hana,125.43,248.58,1994,2
HPV,Hanalei,155.14,307.45,1994,2
HNL,Honolulu,113.98,223.91,1994,3
OGG,Kahului,57.56,113.07,1994,3
KOA,Kona,57.25,112.47,1994,3
LIH,Lihue,48.51,95.3,1994,3
ITO,Hilo,48.85,95.95,1994,3
MKK,Hoolehua,58.62,115.15,1994,3
LNY,Lanai,59.98,117.84,1994,3
JHM,Kapalua,51.39,100.96,1994,3
HNM,Hana,68.09,133.76,1994,3
HPV,Hanalei,82.75,162.55,1994,3
LUP,Kalaupapa,124.0,243.59,1994,3
HNL,Honolulu,119.9,234.44,1994,4
OGG,Kahului,56.72,110.9,1994,4
KOA,Kona,57.56,112.54,1994,4
LIH,Lihue,45.12,88.22,1994,4
ITO,Hilo,46.07,90.09,1994,4
MKK,Hoolehua,53.27,104.16,1994,4
LNY,Lanai,62.08,121.39,1994,4
JHM,Kapalua,66.14,129.32,1994,4
HNM,Hana,83.12,162.52,1994,4
HPV,Hanalei,109.01,213.15,1994,4
LUP,Kalaupapa,118.67,232.02,1994,4
HNL,Honolulu,117.28,227.44,1995,1
OGG,Kahului,54.27,105.25,1995,1
KOA,Kona,50.19,97.33,1995,1
LIH,Lihue,43.05,83.48,1995,1
ITO,Hilo,41.97,81.39,1995,1
MKK,Hoolehua,53.99,104.7,1995,1
LNY,Lanai,54.55,105.79,1995,1
JHM,Kapalua,77.29,149.88,1995,1
HNM,Hana,68.57,132.98,1995,1
HPV,Hanalei,83.97,162.84,1995,1
LUP,Kalaupapa,87.0,168.72,1995,1
HNL,Honolulu,119.03,228.81,1995,2
OGG,Kahului,53.75,103.32,1995,2
KOA,Kona,51.02,98.08,1995,2
LIH,Lihue,42.77,82.22,1995,2
ITO,Hilo,43.3,83.24,1995,2
MKK,Hoolehua,43.89,84.37,1995,2
LNY,Lanai,40.4,77.66,1995,2
HNL,Honolulu,105.58,202.08,1995,3
OGG,Kahului,48.28,92.41,1995,3
KOA,Kona,45.25,86.61,1995,3
LIH,Lihue,40.42,77.35,1995,3
ITO,Hilo,41.61,79.63,1995,3
MKK,Hoolehua,46.16,88.35,1995,3
LNY,Lanai,54.02,103.38,1995,3
HNL,Honolulu,111.47,212.32,1995,4
OGG,Kahului,49.97,95.19,1995,4
KOA,Kona,46.45,88.47,1995,4
LIH,Lihue,40.33,76.82,1995,4
ITO,Hilo,40.53,77.2,1995,4
MKK,Hoolehua,41.62,79.27,1995,4
LNY,Lanai,45.2,86.1,1995,4
LUP,Kalaupapa,597.0,1137.15,1995,4
HNL,Honolulu,113.71,214.63,1996,1
OGG,Kahului,49.05,92.59,1996,1
KOA,Kona,46.22,87.25,1996,1
LIH,Lihue,39.63,74.8,1996,1
ITO,Hilo,39.32,74.21,1996,1
MKK,Hoolehua,41.11,77.59,1996,1
LNY,Lanai,40.74,76.9,1996,1
HNL,Honolulu,118.13,220.79,1996,2
OGG,Kahului,52.32,97.79,1996,2
KOA,Kona,50.81,94.96,1996,2
LIH,Lihue,39.78,74.35,1996,2
ITO,Hilo,40.12,74.98,1996,2
MKK,Hoolehua,43.68,81.64,1996,2
LNY,Lanai,40.74,76.15,1996,2
HNL,Honolulu,110.35,205.16,1996,3
OGG,Kahului,55.04,102.32,1996,3
KOA,Kona,49.81,92.6,1996,3
LIH,Lihue,40.86,75.96,1996,3
ITO,Hilo,43.49,80.85,1996,3
MKK,Hoolehua,44.81,83.32,1996,3
LNY,Lanai,46.11,85.72,1996,3
JHM,Kapalua,66.0,122.71,1996,3
HNL,Honolulu,118.22,218.22,1996,4
OGG,Kahului,55.57,102.57,1996,4
KOA,Kona,50.67,93.52,1996,4
LIH,Lihue,42.71,78.84,1996,4
ITO,Hilo,42.9,79.18,1996,4
MKK,Hoolehua,38.02,70.18,1996,4
LNY,Lanai,45.49,83.97,1996,4
JHM,Kapalua,120.0,221.51,1996,4
HNL,Honolulu,105.56,193.54,1997,1
OGG,Kahului,53.85,98.74,1997,1
KOA,Kona,49.18,90.17,1997,1
LIH,Lihue,42.68,78.25,1997,1
ITO,Hilo,42.74,78.36,1997,1
MKK,Hoolehua,42.1,77.19,1997,1
LNY,Lanai,43.86,80.42,1997,1
JHM,Kapalua,50.0,91.68,1997,1
HNL,Honolulu,123.59,225.72,1997,2
OGG,Kahului,55.82,101.94,1997,2
KOA,Kona,54.4,99.34,1997,2
LIH,Lihue,41.94,76.6,1997,2
ITO,Hilo,41.49,75.78,1997,2
MKK,Hoolehua,39.96,72.98,1997,2
LNY,Lanai,38.63,70.55,1997,2
HNM,Hana,59.0,107.75,1997,2
HNL,Honolulu,119.55,217.47,1997,3
OGG,Kahului,54.86,99.8,1997,3
KOA,Kona,48.87,88.9,1997,3
LIH,Lihue,40.43,73.55,1997,3
ITO,Hilo,42.34,77.02,1997,3
MKK,Hoolehua,38.26,69.59,1997,3
LNY,Lanai,38.1,69.3,1997,3
JHM,Kapalua,45.0,81.86,1997,3
HNL,Honolulu,121.54,220.24,1997,4
OGG,Kahului,53.44,96.84,1997,4
KOA,Kona,50.93,92.28,1997,4
LIH,Lihue,41.61,75.39,1997,4
ITO,Hilo,41.72,75.59,1997,4
MKK,Hoolehua,43.89,79.52,1997,4
LNY,Lanai,38.17,69.16,1997,4
HNL,Honolulu,111.99,202.38,1998,1
OGG,Kahului,62.73,113.36,1998,1
KOA,Kona,53.16,96.06,1998,1
LIH,Lihue,53.92,97.43,1998,1
ITO,Hilo,41.15,74.36,1998,1
MKK,Hoolehua,41.68,75.32,1998,1
LNY,Lanai,37.71,68.15,1998,1
HNL,Honolulu,129.6,232.95,1998,2
OGG,Kahului,58.21,104.63,1998,2
KOA,Kona,54.85,98.58,1998,2
LIH,Lihue,44.29,79.61,1998,2
ITO,Hilo,44.49,79.97,1998,2
MKK,Hoolehua,44.03,79.15,1998,2
LNY,Lanai,45.97,82.62,1998,2
HNL,Honolulu,134.77,241.31,1998,3
OGG,Kahului,60.05,107.51,1998,3
KOA,Kona,59.59,106.69,1998,3
LIH,Lihue,47.87,85.7,1998,3
ITO,Hilo,46.97,84.09,1998,3
MKK,Hoolehua,44.55,79.77,1998,3
LNY,Lanai,48.2,86.3,1998,3
JHM,Kapalua,99.0,177.26,1998,3
HNM,Hana,208.0,372.43,1998,3
HNL,Honolulu,126.85,226.35,1998,4
OGG,Kahului,58.49,104.36,1998,4
KOA,Kona,56.82,101.39,1998,4
LIH,Lihue,46.43,82.84,1998,4
ITO,Hilo,45.27,80.78,1998,4
MKK,Hoolehua,43.33,77.32,1998,4
LNY,Lanai,45.05,80.38,1998,4
JHM,Kapalua,137.5,245.35,1998,4
HNL,Honolulu,116.65,207.34,1999,1
OGG,Kahului,55.52,98.69,1999,1
KOA,Kona,56.93,101.2,1999,1
LIH,Lihue,46.1,81.94,1999,1
ITO,Hilo,43.63,77.56,1999,1
MKK,Hoolehua,39.6,70.38,1999,1
LNY,Lanai,50.69,90.11,1999,1
HNL,Honolulu,142.03,250.03,1999,2
OGG,Kahului,62.39,109.83,1999,2
KOA,Kona,61.44,108.16,1999,2
LIH,Lihue,48.01,84.52,1999,2
ITO,Hilo,62.39,109.82,1999,2
MKK,Hoolehua,39.19,68.99,1999,2
LNY,Lanai,42.75,75.26,1999,2
JHM,Kapalua,61.5,108.26,1999,2
HNM,Hana,97.0,170.76,1999,2
HNL,Honolulu,135.35,236.79,1999,3
OGG,Kahului,62.89,110.03,1999,3
KOA,Kona,64.97,113.67,1999,3
LIH,Lihue,49.01,85.74,1999,3
ITO,Hilo,46.36,81.1,1999,3
MKK,Hoolehua,44.26,77.43,1999,3
LNY,Lanai,50.55,88.44,1999,3
JHM,Kapalua,115.8,202.59,1999,3
HNL,Honolulu,135.08,234.87,1999,4
OGG,Kahului,63.18,109.85,1999,4
KOA,Kona,61.02,106.09,1999,4
LIH,Lihue,49.25,85.63,1999,4
ITO,Hilo,48.74,84.75,1999,4
MKK,Hoolehua,40.37,70.2,1999,4
LNY,Lanai,42.16,73.3,1999,4
JHM,Kapalua,194.0,337.32,1999,4
HNL,Honolulu,124.44,214.25,2000,1
OGG,Kahului,66.67,114.78,2000,1
KOA,Kona,61.2,105.37,2000,1
LIH,Lihue,50.73,87.34,2000,1
ITO,Hilo,47.25,81.35,2000,1
MKK,Hoolehua,39.71,68.37,2000,1
LNY,Lanai,44.33,76.32,2000,1
JHM,Kapalua,110.0,189.39,2000,1
HNL,Honolulu,141.37,240.85,2000,2
OGG,Kahului,69.52,118.44,2000,2
KOA,Kona,71.14,121.2,2000,2
LIH,Lihue,54.06,92.1,2000,2
ITO,Hilo,51.65,87.98,2000,2
MKK,Hoolehua,44.45,75.73,2000,2
LNY,Lanai,45.37,77.29,2000,2
JHM,Kapalua,105.5,179.73,2000,2
HNL,Honolulu,142.75,241.27,2000,3
OGG,Kahului,73.14,123.61,2000,3
KOA,Kona,72.69,122.87,2000,3
LIH,Lihue,55.77,94.27,2000,3
ITO,Hilo,56.49,95.48,2000,3
MKK,Hoolehua,52.46,88.68,2000,3
LNY,Lanai,47.44,80.19,2000,3
JHM,Kapalua,143.83,243.11,2000,3
HNL,Honolulu,148.22,249.18,2000,4
OGG,Kahului,75.56,127.02,2000,4
KOA,Kona,73.5,123.56,2000,4
LIH,Lihue,58.8,98.86,2000,4
ITO,Hilo,53.18,89.41,2000,4
MKK,Hoolehua,52.4,88.09,2000,4
LNY,Lanai,60.88,102.35,2000,4
JHM,Kapalua,119.4,200.73,2000,4
HNL,Honolulu,142.59,237.43,2001,1
OGG,Kahului,76.64,127.61,2001,1
KOA,Kona,75.3,125.39,2001,1
LIH,Lihue,58.45,97.33,2001,1
ITO,Hilo,55.52,92.45,2001,1
MKK,Hoolehua,60.3,100.41,2001,1
LNY,Lanai,57.04,94.98,2001,1
JHM,Kapalua,135.25,225.22,2001,1
HNL,Honolulu,162.8,268.3,2001,2
OGG,Kahului,82.49,135.95,2001,2
KOA,Kona,80.31,132.35,2001,2
LIH,Lihue,63.14,104.06,2001,2
ITO,Hilo,56.49,93.09,2001,2
MKK,Hoolehua,61.32,101.05,2001,2
LNY,Lanai,55.9,92.12,2001,2
JHM,Kapalua,145.44,239.69,2001,2
HNL,Honolulu,160.7,264.48,2001,3
OGG,Kahului,95.32,156.88,2001,3
KOA,Kona,81.15,133.56,2001,3
LIH,Lihue,62.01,102.06,2001,3
ITO,Hilo,58.57,96.4,2001,3
MKK,Hoolehua,52.0,85.59,2001,3
LNY,Lanai,56.96,93.75,2001,3
JHM,Kapalua,136.17,224.11,2001,3
HNL,Honolulu,157.03,259.18,2001,4
OGG,Kahului,92.19,152.16,2001,4
KOA,Kona,87.98,145.2,2001,4
LIH,Lihue,69.5,114.7,2001,4
ITO,Hilo,60.34,99.6,2001,4
MKK,Hoolehua,59.72,98.56,2001,4
LNY,Lanai,58.5,96.55,2001,4
JHM,Kapalua,109.29,180.37,2001,4
HNL,Honolulu,153.08,251.75,2002,1
OGG,Kahului,92.05,151.39,2002,1
KOA,Kona,85.86,141.2,2002,1
LIH,Lihue,66.13,108.75,2002,1
ITO,Hilo,59.72,98.22,2002,1
MKK,Hoolehua,57.59,94.71,2002,1
LNY,Lanai,65.66,107.98,2002,1
JHM,Kapalua,140.6,231.23,2002,1
HNL,Honolulu,162.96,265.12,2002,2
OGG,Kahului,91.62,149.05,2002,2
KOA,Kona,88.89,144.61,2002,2
LIH,Lihue,67.29,109.48,2002,2
ITO,Hilo,62.79,102.16,2002,2
MKK,Hoolehua,60.54,98.5,2002,2
LNY,Lanai,57.67,93.82,2002,2
JHM,Kapalua,225.4,366.7,2002,2
HNL,Honolulu,159.41,258.25,2002,3
OGG,Kahului,94.98,153.86,2002,3
KOA,Kona,87.2,141.26,2002,3
LIH,Lihue,68.12,110.36,2002,3
ITO,Hilo,62.17,100.71,2002,3
MKK,Hoolehua,70.22,113.75,2002,3
LNY,Lanai,62.31,100.94,2002,3
JHM,Kapalua,224.31,363.39,2002,3
HNL,Honolulu,162.7,262.74,2002,4
OGG,Kahului,93.44,150.9,2002,4
KOA,Kona,89.28,144.18,2002,4
LIH,Lihue,73.66,118.96,2002,4
ITO,Hilo,63.65,102.79,2002,4
MKK,Hoolehua,63.73,102.91,2002,4
LNY,Lanai,78.39,126.59,2002,4
JHM,Kapalua,148.5,239.82,2002,4
HNL,Honolulu,172.45,275.71,2003,1
OGG,Kahului,106.71,170.6,2003,1
KOA,Kona,101.74,162.66,2003,1
LIH,Lihue,84.99,135.88,2003,1
ITO,Hilo,72.82,116.41,2003,1
MKK,Hoolehua,120.75,193.05,2003,1
LNY,Lanai,86.85,138.84,2003,1
JHM,Kapalua,186.59,298.31,2003,1
HNL,Honolulu,207.01,329.75,2003,2
OGG,Kahului,131.89,210.09,2003,2
KOA,Kona,127.17,202.58,2003,2
LIH,Lihue,104.06,165.77,2003,2
ITO,Hilo,89.71,142.91,2003,2
MKK,Hoolehua,126.18,201.0,2003,2
LNY,Lanai,103.63,165.07,2003,2
JHM,Kapalua,228.25,363.59,2003,2
HNL,Honolulu,216.73,343.55,2003,3
OGG,Kahului,140.04,222.0,2003,3
KOA,Kona,134.39,213.03,2003,3
LIH,Lihue,112.86,178.9,2003,3
ITO,Hilo,100.1,158.68,2003,3
MKK,Hoolehua,104.08,164.99,2003,3
LNY,Lanai,116.89,185.29,2003,3
JHM,Kapalua,177.0,280.58,2003,3
HNL,Honolulu,228.31,361.85,2003,4
OGG,Kahului,151.57,240.22,2003,4
KOA,Kona,145.58,230.72,2003,4
LIH,Lihue,120.28,190.64,2003,4
ITO,Hilo,108.62,172.15,2003,4
MKK,Hoolehua,143.62,227.63,2003,4
LNY,Lanai,111.77,177.15,2003,4
JHM,Kapalua,171.11,271.18,2003,4
HNL,Honolulu,232.15,364.64,2004,1
OGG,Kahului,168.17,264.15,2004,1
KOA,Kona,159.93,251.21,2004,1
LIH,Lihue,136.82,214.91,2004,1
ITO,Hilo,127.41,200.12,2004,1
MKK,Hoolehua,117.32,184.28,2004,1
LNY,Lanai,120.54,189.33,2004,1
JHM,Kapalua,183.97,288.96,2004,1
HNL,Honolulu,253.56,392.64,2004,2
OGG,Kahului,183.78,284.59,2004,2
KOA,Kona,182.4,282.46,2004,2
LIH,Lihue,150.35,232.82,2004,2
ITO,Hilo,138.1,213.85,2004,2
MKK,Hoolehua,127.49,197.42,2004,2
LNY,Lanai,115.15,178.31,2004,2
JHM,Kapalua,207.29,320.99,2004,2
HNL,Honolulu,253.26,390.81,2004,3
OGG,Kahului,183.86,283.72,2004,3
KOA,Kona,188.89,291.48,2004,3
LIH,Lihue,161.79,249.65,2004,3
ITO,Hilo,140.25,216.41,2004,3
MKK,Hoolehua,205.25,316.72,2004,3
LNY,Lanai,140.49,216.79,2004,3
JHM,Kapalua,192.25,296.66,2004,3
HNL,Honolulu,236.36,362.56,2004,4
OGG,Kahului,172.48,264.57,2004,4
KOA,Kona,177.08,271.63,2004,4
LIH,Lihue,163.17,250.3,2004,4
ITO,Hilo,117.58,180.36,2004,4
MKK,Hoolehua,406.38,623.35,2004,4
LNY,Lanai,528.0,809.92,2004,4
JHM,Kapalua,302.0,463.25,2004,4
HNL,Honolulu,246.99,376.5,2005,1
OGG,Kahului,190.1,289.78,2005,1
KOA,Kona,185.57,282.87,2005,1
LIH,Lihue,153.34,233.75,2005,1
ITO,Hilo,131.69,200.75,2005,1
MKK,Hoolehua,334.0,509.13,2005,1
LNY,Lanai,389.75,594.11,2005,1
JHM,Kapalua,332.33,506.59,2005,1
HNL,Honolulu,272.29,409.59,2005,2
OGG,Kahului,195.59,294.21,2005,2
KOA,Kona,200.87,302.15,2005,2
LIH,Lihue,162.06,243.77,2005,2
ITO,Hilo,139.53,209.88,2005,2
MKK,Hoolehua,438.63,659.79,2005,2
LNY,Lanai,378.11,568.76,2005,2
JHM,Kapalua,484.83,729.3,2005,2
HNL,Honolulu,283.13,420.77,2005,3
OGG,Kahului,213.58,317.4,2005,3
KOA,Kona,208.31,309.57,2005,3
LIH,Lihue,177.07,263.16,2005,3
ITO,Hilo,157.12,233.51,2005,3
MKK,Hoolehua,622.56,925.21,2005,3
LNY,Lanai,462.25,686.97,2005,3
JHM,Kapalua,474.57,705.28,2005,3
HNL,Honolulu,282.63,417.91,2005,4
OGG,Kahului,217.02,320.89,2005,4
KOA,Kona,224.76,332.34,2005,4
LIH,Lihue,189.47,280.16,2005,4
ITO,Hilo,173.26,256.19,2005,4
MKK,Hoolehua,470.29,695.38,2005,4
LNY,Lanai,271.5,401.45,2005,4
JHM,Kapalua,403.89,597.2,2005,4
HNL,Honolulu,293.55,431.73,2006,1
OGG,Kahului,233.89,343.99,2006,1
KOA,Kona,227.3,334.29,2006,1
LIH,Lihue,195.56,287.61,2006,1
ITO,Hilo,173.37,254.97,2006,1
MKK,Hoolehua,640.57,942.09,2006,1
LNY,Lanai,247.67,364.24,2006,1
JHM,Kapalua,753.0,1107.44,2006,1
HNL,Honolulu,308.15,445.65,2006,2
OGG,Kahului,232.5,336.25,2006,2
KOA,Kona,231.32,334.54,2006,2
LIH,Lihue,194.75,281.66,2006,2
ITO,Hilo,174.03,251.69,2006,2
MKK,Hoolehua,671.38,970.96,2006,2
LNY,Lanai,397.5,574.88,2006,2
JHM,Kapalua,487.0,704.31,2006,2
HNL,Honolulu,272.57,392.0,2006,3
OGG,Kahului,202.17,290.76,2006,3
KOA,Kona,206.5,296.98,2006,3
LIH,Lihue,157.72,226.83,2006,3
ITO,Hilo,146.72,211.0,2006,3
MKK,Hoolehua,455.17,654.61,2006,3
LNY,Lanai,533.5,767.26,2006,3
JHM,Kapalua,730.56,1050.66,2006,3
HNM,Hana,1384.0,1990.43,2006,3
HNL,Honolulu,240.13,348.31,2006,4
OGG,Kahului,173.65,251.89,2006,4
KOA,Kona,169.21,245.44,2006,4
LIH,Lihue,150.19,217.85,2006,4
ITO,Hilo,124.49,180.57,2006,4
MKK,Hoolehua,608.0,881.92,2006,4
LNY,Lanai,771.0,1118.36,2006,4
JHM,Kapalua,375.71,544.99,2006,4
HNL,Honolulu,216.54,310.93,2007,1
OGG,Kahului,165.78,238.05,2007,1
KOA,Kona,154.2,221.42,2007,1
LIH,Lihue,131.73,189.15,2007,1
ITO,Hilo,111.38,159.92,2007,1
